PASILLO,UBICACION,CODIGO,DESCRIPCION,CANTIDAD,FECHA,Index
A,"A1,36",,"",,,648
A,"A1,37",4401627,OPP TURRON MANI X 80 G BARILOCHE  2023,"112,7",31/07/2024,649
A,"A1,37",3045018,HOSTIA 160MM X 70MM,"30000,0",04/09/2024,650
A,"A1,37",,"",,,651
A,"A1,37",,"",,,652
A,"A1,37",,"",,,653
A,"A1,37",,"",,,654
A,"A1,37",,"",,,655
A,"A1,37",,"",,,656
A,"A1,37",,"",,,657
A,"A1,37",,"",,,658
A,"A1,37",,"",,,659
A,"A1,37",,"",,,660
A,"A1,37",,"",,,661
A,"A1,37",,"",,,662
A,"A1,37",,"",,,663
A,"A1,37",,"",,,664
A,"A1,37",,"",,,665
A,"A1,37",,"",,,666
A,"A1,38",4196875,FLEX GARRAPIÑADA DE MANI  100  PALMESANO 2023,"312,8",05/09/2024,667
A,"A1,38",,"",,,668
A,"A1,38",,"",,,669
A,"A1,38",,"",,,670
A,"A1,38",,"",,,671
A,"A1,38",,"",,,672
A,"A1,38",,"",,,673
A,"A1,38",,"",,,674
A,"A1,38",,"",,,675
A,"A1,38",,"",,,676
A,"A1,38",,"",,,677
A,"A1,38",,"",,,678
A,"A1,38",,"",,,679
A,"A1,38",,"",,,680
A,"A1,38",,"",,,681
A,"A1,38",,"",,,682
A,"A1,38",,"",,,683
A,"A1,38",,"",,,684
A,"A1,39",4199020,OPP CONFITE TIRAS-2 OCTOGONO - PALMESANO 2023,"117,0",19/05/2024,685
A,"A1,39",4401617,FLEX  LENTEJA CONF. C CHOCO X 120 G  BAR 2023,"175,8",15/07/2024,686
A,"A1,39",4196739,FLEX TIRITAS -PALMESANO 2023,"17,2",05/08/2024,687
A,"A1,39",,"",,,688
A,"A1,39",,"",,,689
A,"A1,39",,"",,,690
A,"A1,39",,"",,,691
A,"A1,39",,"",,,692
A,"A1,39",,"",,,693
A,"A1,39",,"",,,694
A,"A1,39",,"",,,695
A,"A1,39",,"",,,696
A,"A1,39",,"",,,697
A,"A1,39",,"",,,698
A,"A1,39",,"",,,699
A,"A1,39",,"",,,700
A,"A1,39",,"",,,701
A,"A1,39",,"",,,702
A,"A1,40",4400871,CINTA ADH. IMPRESA BCHE. 48 X100 M IN 16138,"459,0",19/05/2024,703
A,"A1,40",4111005,CINTA ADHESIVA TRANSPARENTE 48MM X 100MT,"72,0",31/07/2024,704
A,"A1,40",,"",,,705
A,"A1,40",,"",,,706
A,"A1,40",,"",,,707
A,"A1,40",,"",,,708
A,"A1,40",,"",,,709
A,"A1,40",,"",,,710
A,"A1,40",,"",,,711
A,"A1,40",,"",,,712
A,"A1,40",,"",,,713
A,"A1,40",,"",,,714
A,"A1,40",,"",,,715
A,"A1,40",,"",,,716
A,"A1,40",,"",,,717
A,"A1,40",,"",,,718
A,"A1,40",,"",,,719
A,"A1,40",,"",,,720
A,"A1,41",4198112,FLEX ALMENDRAS CHOCOLATE X 80 G PAL 2023,"19,9",19/05/2024,721
A,"A1,41",4401623,FLEX LENTEJAS CONFITADAS X 80 G BARILOC  2023,"26,4",04/07/2024,722
A,"A1,41",4196865,FLEX TURRON MANI FRUTAS X 120 G PALMESAN 2023,"18,7",05/08/2024,723
A,"A1,41",4401413,PELICULA  TRANSPARENTE 14190,"21,9",02/09/2024,724
A,"A1,41",4401659,ETIQ. BOTE ALMENDRAS BITTER  BCHE PREMIUM,"5700,0",02/09/2024,725
A,"A1,41",4401660,ETIQ. BOTE PASAS DE UVA BITTER  BCHE PREMIUM,"3340,0",02/09/2024,726
A,"A1,41",4401661,ETIQ. BOTE ALMENDRAS LECHE  BCHE PREMIUM,"3000,0",02/09/2024,727
